,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,(hyperhidrosis).,,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Trichorhinophalangeal syndrome type II",https://ghr.nlm.nih.gov/condition/trichorhinophalangeal-syndrome-type-ii,"TRPS II is a rare condition; its prevalence is unknown.",html:p,"Trichorhinophalangeal syndrome type II (TRPS II) is a condition that causes bone",ad,"autosomal dominant",,EXT1,https://ghr.nlm.nih.gov/gene/EXT1,"chromosome 8q24.1 deletion syndrome",db,key,2017-06,2017-12-29,,,,
,,,,,"and joint malformations; distinctive facial features; intellectual disability;",,,related-gene,gene-symbol,ghr-page,"Giedion-Langer syndrome",GTR,C0023003,,,,,,
,,,,,"and abnormalities of the skin, hair, teeth, sweat glands, and nails. The name of",,,,RAD21,https://ghr.nlm.nih.gov/gene/RAD21,"Langer-Giedion syndrome",db,key,,,,,,
,,,,,"the condition describes some of the areas of the body that are commonly",,,related-gene,gene-symbol,ghr-page,LGS,GeneReviews,tps,,,,,,
,,,,,"affected: hair (tricho-), nose (rhino-), and fingers and toes (phalangeal).",,,,TRPS1,https://ghr.nlm.nih.gov/gene/TRPS1,"tricho-rhino-phalangeal syndrome type II",db,key,,,,,,
,,,,html:p,"People with this condition have multiple noncancerous (benign) bone tumors",,,related-chromosome,name,ghr-page,"trichorhinophalangeal syndrome with exostosis",MeSH,D015826,,,,,,
,,,,,"called osteochondromas. Affected individuals may develop a few to several",,,,8,https://ghr.nlm.nih.gov/chromosome/8,"TRPS II",db,key,,,,,,
,,,,,"hundred osteochondromas. These bone growths typically begin in infancy to early",,,,,,TRPS2,OMIM,150230,,,,,,
,,,,,"childhood and stop forming around adolescence. Depending on the location of the",,,,,,,db,key,,,,,,
,,,,,"osteochondromas, they can cause pain, limited range of joint movement, or damage",,,,,,,Orphanet,502,,,,,,
,,,,,"to blood vessels or the spinal cord. Individuals with TRPS II may have reduced",,,,,,,db,key,,,,,,
,,,,,"bone mineral density (osteopenia). Affected individuals often have slow growth",,,,,,,"SNOMED CT",41069008,,,,,,
,,,,,"before and after birth resulting in short stature. In TRPS II, the ends",,,,,,,,,,,,,,
,,,,,"(epiphyses) of one or more bones in the fingers or toes are abnormally",,,,,,,,,,,,,,
,,,,,"cone-shaped. Additionally, the fingernails and toenails are typically thin and",,,,,,,,,,,,,,
,,,,,"abnormally formed.",,,,,,,,,,,,,,
,,,,html:p,"Children with TRPS II often have an unusually large range of joint movement",,,,,,,,,,,,,,
,,,,,"(hypermobility). However, as osteochondromas begin to develop, typically",,,,,,,,,,,,,,
,,,,,"starting between infancy and mid-childhood, the joints begin to stiffen, leading",,,,,,,,,,,,,,
,,,,,"to decreased mobility. Individuals with TRPS II may also have a misalignment of",,,,,,,,,,,,,,
,,,,,"the hip joints (hip dysplasia), which often develops in early adulthood but can",,,,,,,,,,,,,,
,,,,,"occur in infancy or childhood.",,,,,,,,,,,,,,
,,,,html:p,"The characteristic appearance of individuals with TRPS II involves thick",,,,,,,,,,,,,,
,,,,,"eyebrows; a broad nose with a rounded tip; a long, smooth area between the nose",,,,,,,,,,,,,,
,,,,,"and the upper lip (philtrum); a thin upper lip; and small teeth that are either",,,,,,,,,,,,,,
,,,,,"decreased (oligodontia) or increased (supernumerary) in number. Almost all",,,,,,,,,,,,,,
,,,,,"affected individuals have sparse scalp hair. Males are particularly affected by",,,,,,,,,,,,,,
,,,,,"hair loss, with many being nearly or completely bald soon after puberty. Some",,,,,,,,,,,,,,
,,,,,"children with this condition have loose skin, but the skin becomes tighter over",,,,,,,,,,,,,,
,,,,,"time. Individuals with TRPS II may experience excessive sweating",,,,,,,,,,,,,,
,,,,,(hyperhidrosis).,,,,,,,,,,,,,,
,,,,html:p,"Most individuals with TRPS II have mild intellectual disability.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,Trichothiodystrophy,https://ghr.nlm.nih.gov/condition/trichothiodystrophy,"Trichothiodystrophy has an estimated incidence of about 1 in 1 million",html:p,"Trichothiodystrophy, which is commonly called TTD, is a rare inherited condition",ar,"autosomal recessive",,ERCC2,https://ghr.nlm.nih.gov/gene/ERCC2,"Amish brittle hair syndrome",db,key,2010-05,2017-12-29,,,,
,毛髮缺硫性失養,,"newborns in the United States and Europe. About 100 affected individuals have",,"that affects many parts of the body. The hallmark of this condition is brittle",,,related-gene,gene-symbol,ghr-page,"BIDS syndrome",GTR,C0740342,,,,,,
,,,"been reported worldwide.",,"hair that is sparse and easily broken. Tests show that the hair is lacking",,,,ERCC3,https://ghr.nlm.nih.gov/gene/ERCC3,"brittle hair-intellectual impairment-decreased fertility-short stature syndrome",db,key,,,,,,
,,,,,"sulfur, an element that normally gives hair its strength.",,,related-gene,gene-symbol,ghr-page,IBIDS,GTR,C1866504,,,,,,
,,,,html:p,"The signs and symptoms of trichothiodystrophy vary widely. Mild cases may",,,,GTF2H5,https://ghr.nlm.nih.gov/gene/GTF2H5,PIBIDS,db,key,,,,,,
,,,,,"involve only the hair. More severe cases also cause delayed development,",,,related-gene,gene-symbol,ghr-page,TTD,GTR,C1961117,,,,,,
,,,,,"significant intellectual disability, and recurrent infections; severely affected",,,,MPLKIP,https://ghr.nlm.nih.gov/gene/MPLKIP,,db,key,,,,,,
,,,,,"individuals may survive only into infancy or early childhood.",,,,,,,MeSH,D054463,,,,,,
,,,,html:p,"Mothers of children with trichothiodystrophy may experience problems during",,,,,,,db,key,,,,,,
,,,,,"pregnancy including pregnancy-induced high blood pressure (preeclampsia) and a",,,,,,,OMIM,234050,,,,,,
,,,,,"related condition called HELLP syndrome that can damage the liver. Babies with",,,,,,,db,key,,,,,,
,,,,,"trichothiodystrophy are at increased risk of premature birth, low birth weight,",,,,,,,OMIM,601675,,,,,,
,,,,,"and slow growth.",,,,,,,db,key,,,,,,
,,,,html:p,"Most affected children have short stature compared to others their age.",,,,,,,Orphanet,33364,,,,,,
,,,,,"Intellectual disability and delayed development are common, although most",,,,,,,db,key,,,,,,
,,,,,"affected individuals are highly social with an outgoing and engaging",,,,,,,"SNOMED CT",254128006,,,,,,
,,,,,"personality. Some have brain abnormalities that can be seen with imaging tests.",,,,,,,db,key,,,,,,
,,,,,"Trichothiodystrophy is also associated with recurrent infections, particularly",,,,,,,"SNOMED CT",403796005,,,,,,
,,,,,"respiratory infections, which can be life-threatening. Other features of",,,,,,,,,,,,,,
,,,,,"trichothiodystrophy can include dry, scaly skin (ichthyosis); abnormalities of",,,,,,,,,,,,,,
,,,,,"the fingernails and toenails; clouding of the lens in both eyes from birth",,,,,,,,,,,,,,
,,,,,"(congenital cataracts); poor coordination; and skeletal abnormalities.",,,,,,,,,,,,,,
,,,,html:p,"About half of all people with trichothiodystrophy have a photosensitive form of",,,,,,,,,,,,,,
,,,,,"the disorder, which causes them to be extremely sensitive to ultraviolet (UV)",,,,,,,,,,,,,,
,,,,,"rays from sunlight. They develop a severe sunburn after spending just a few",,,,,,,,,,,,,,
,,,,,"minutes in the sun. However, for reasons that are unclear, they do not develop",,,,,,,,,,,,,,
,,,,,"other sun-related problems such as excessive freckling of the skin or an",,,,,,,,,,,,,,
,,,,,"increased risk of skin cancer. Many people with trichothiodystrophy report that",,,,,,,,,,,,,,
,,,,,"they do not sweat.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,Trimethylaminuria,https://ghr.nlm.nih.gov/condition/trimethylaminuria,"Trimethylaminuria is an uncommon genetic disorder; its incidence is",html:p,"Trimethylaminuria is a disorder in which the body is unable to break down",ad,"autosomal dominant",,FMO3,https://ghr.nlm.nih.gov/gene/FMO3,"fish malodor syndrome",db,key,2013-01,2017-12-29,,,,
,"臭魚症 ",,unknown.,,"trimethylamine, a chemical compound that has a pungent odor. Trimethylamine has",,,,,,"fish odor syndrome",GTR,C0342739,,,,,,
,魚腥味綜合徵,,,,"been described as smelling like rotting fish, rotting eggs, garbage, or urine.",,,,,,"stale fish syndrome",db,key,,,,,,
,(Metabolic),,,,"As this compound builds up in the body, it causes affected people to give off a",,,,,,TMAU,GeneReviews,trimethylaminuria,,,,,,
,(Odor),,,,"strong odor in their sweat, urine, and breath. The intensity of the odor may",,,,,,TMAuria,db,key,,,,,,
,,,,,"vary over time. The odor can interfere with many aspects of daily life,",,,,,,,ICD-10-CM,E72.52,,,,,,
,Interesting,,,,"affecting a person's relationships, social life, and career. Some people with",,,,,,,db,key,,,,,,
,,,,,"trimethylaminuria experience depression and social isolation as a result of this",,,,,,,MeSH,D008661,,,,,,
,,,,,condition.,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,602079,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,35056,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",237959005,,,,,,
,"Triosephosphate isomerase deficiency",https://ghr.nlm.nih.gov/condition/triosephosphate-isomerase-deficiency,"Triosephosphate isomerase deficiency is likely a rare condition;",html:p,"Triosephosphate isomerase deficiency is a disorder characterized by a shortage",ar,"autosomal recessive",,TPI1,https://ghr.nlm.nih.gov/gene/TPI1,"deficiency of phosphotriose isomerase",db,key,2014-08,2017-12-29,,,,
,磷酸丙糖異構酶缺乏症,,"approximately 40 cases have been reported in the scientific literature.",,"of red blood cells (anemia), movement problems, increased susceptibility to",,,,,,"hereditary nonspherocytic hemolytic anemia due to triosephosphate isomerase",GTR,C1860808,,,,,,
,,,,,"infection, and muscle weakness that can affect breathing and heart function.",,,,,,deficiency,db,key,,,,,,
,,,,html:p,"The anemia in this condition begins in infancy. Since the anemia results from",,,,,,"TPI deficiency",ICD-10-CM,D55.2,,,,,,
,,,,,"the premature breakdown of red blood cells (hemolysis), it is known as hemolytic",,,,,,TPID,db,key,,,,,,
,,,,,"anemia. A shortage of red blood cells to carry oxygen throughout the body leads",,,,,,"triose phosphate isomerase deficiency",MeSH,D002239,,,,,,
,,,,,"to extreme tiredness (fatigue), pale skin (pallor), and shortness of breath.",,,,,,,db,key,,,,,,
,,,,,"When the red cells are broken down, iron and a molecule called bilirubin are",,,,,,,OMIM,615512,,,,,,
,,,,,"released; individuals with triosephosphate isomerase deficiency have an excess",,,,,,,db,key,,,,,,
,,,,,"of these substances circulating in the blood. Excess bilirubin in the blood",,,,,,,Orphanet,868,,,,,,
,,,,,"causes jaundice, which is a yellowing of the skin and the whites of the eyes.",,,,,,,db,key,,,,,,
,,,,html:p,"Movement problems typically become apparent by age 2 in people with",,,,,,,"SNOMED CT",44641000,,,,,,
,,,,,"triosephosphate isomerase deficiency. The movement problems are caused by",,,,,,,,,,,,,,
,,,,,"impairment of motor neurons, which are specialized nerve cells in the brain and",,,,,,,,,,,,,,
,,,,,"spinal cord that control muscle movement. This impairment leads to muscle",,,,,,,,,,,,,,
,,,,,"weakness and wasting (atrophy) and causes the movement problems typical of",,,,,,,,,,,,,,
,,,,,"triosephosphate isomerase deficiency, including involuntary muscle tensing",,,,,,,,,,,,,,
,,,,,"(dystonia), tremors, and weak muscle tone (hypotonia). Affected individuals may",,,,,,,,,,,,,,
,,,,,"also develop seizures.",,,,,,,,,,,,,,
,,,,html:p,"Weakness of other muscles, such as the heart (a condition known as",,,,,,,,,,,,,,
,,,,,"cardiomyopathy) and the muscle that separates the abdomen from the chest cavity",,,,,,,,,,,,,,
,,,,,"(the diaphragm) can also occur in triosephosphate isomerase deficiency.",,,,,,,,,,,,,,
,,,,,"Diaphragm weakness can cause breathing problems and ultimately leads to",,,,,,,,,,,,,,
,,,,,"respiratory failure.",,,,,,,,,,,,,,
,,,,html:p,"Individuals with triosephosphate isomerase deficiency are at increased risk of",,,,,,,,,,,,,,
,,,,,"developing infections because they have poorly functioning white blood cells.",,,,,,,,,,,,,,
,,,,,"These immune system cells normally recognize and attack foreign invaders, such",,,,,,,,,,,,,,
,,,,,"as viruses and bacteria, to prevent infection. The most common infections in",,,,,,,,,,,,,,
,,,,,"people with triosephosphate isomerase deficiency are bacterial infections of the",,,,,,,,,,,,,,
,,,,,"respiratory tract.",,,,,,,,,,,,,,
,,,,html:p,"People with triosephosphate isomerase deficiency often do not survive past",,,,,,,,,,,,,,
,,,,,"childhood due to respiratory failure. In a few rare cases, affected individuals",,,,,,,,,,,,,,
,,,,,"without severe nerve damage or muscle weakness have lived into adulthood.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Triple A syndrome",https://ghr.nlm.nih.gov/condition/triple-a-syndrome,"Triple A syndrome is a rare condition, although its exact prevalence is",html:p,"Triple A syndrome is an inherited condition characterized by three specific",ar,"autosomal recessive",,AAAS,https://ghr.nlm.nih.gov/gene/AAAS,AAA,db,key,2010-02,2017-12-29,,,,
,,,unknown.,,"features: achalasia, Addison disease, and alacrima. Achalasia is a disorder that",,,,,,"AAA syndrome",GTR,C0271742,,,,,,
,,,,,"affects the ability to move food through the esophagus, the tube that carries",,,,,,"Achalasia-addisonian syndrome",db,key,,,,,,
,,,,,"food from the throat to the stomach. It can lead to severe feeding difficulties",,,,,,"Achalasia-Addisonianism-Alacrima syndrome",MeSH,D000309,,,,,,
,,,,,"and low blood sugar (hypoglycemia). Addison disease, also known as primary",,,,,,"Achalasia-alacrima syndrome",db,key,,,,,,
,,,,,"adrenal insufficiency, is caused by abnormal function of the small",,,,,,"Alacrima-achalasia-adrenal insufficiency neurologic disorder",MeSH,D004931,,,,,,
,,,,,"hormone-producing glands on top of each kidney (adrenal glands). The main",,,,,,"Allgrove syndrome",db,key,,,,,,
,,,,,"features of Addison disease include fatigue, loss of appetite, weight loss, low",,,,,,,MeSH,D007766,,,,,,
,,,,,"blood pressure, and darkening of the skin. The third major feature of triple A",,,,,,,db,key,,,,,,
,,,,,"syndrome is a reduced or absent ability to secrete tears (alacrima). Most people",,,,,,,OMIM,231550,,,,,,
,,,,,"with triple A syndrome have all three of these features, although some have",,,,,,,db,key,,,,,,
,,,,,"only two.",,,,,,,Orphanet,869,,,,,,
,,,,html:p,"Many of the features of triple A syndrome are caused by dysfunction of the",,,,,,,db,key,,,,,,
,,,,,"autonomic nervous system. This part of the nervous system controls involuntary",,,,,,,"SNOMED CT",45414006,,,,,,
,,,,,"body processes such as digestion, blood pressure, and body temperature. People",,,,,,,,,,,,,,
,,,,,"with triple A syndrome often experience abnormal sweating, difficulty regulating",,,,,,,,,,,,,,
,,,,,"blood pressure, unequal pupil size (anisocoria), and other signs and symptoms",,,,,,,,,,,,,,
,,,,,"of autonomic nervous system dysfunction (dysautonomia).",,,,,,,,,,,,,,
,,,,html:p,"People with this condition may have other neurological abnormalities, such as",,,,,,,,,,,,,,
,,,,,"developmental delay, intellectual disability, speech problems (dysarthria), and",,,,,,,,,,,,,,
,,,,,"a small head size (microcephaly). In addition, affected individuals commonly",,,,,,,,,,,,,,
,,,,,"experience muscle weakness, movement problems, and nerve abnormalities in their",,,,,,,,,,,,,,
,,,,,"extremities (peripheral neuropathy). Some develop optic atrophy, which is the",,,,,,,,,,,,,,
,,,,,"degeneration (atrophy) of the nerves that carry information from the eyes to the",,,,,,,,,,,,,,
,,,,,"brain. Many of the neurological symptoms of triple A syndrome worsen over time.",,,,,,,,,,,,,,
,,,,html:p,"People with triple A syndrome frequently develop a thickening of the outer layer",,,,,,,,,,,,,,
,,,,,"of skin (hyperkeratosis) on the palms of their hands and the soles of their",,,,,,,,,,,,,,
,,,,,"feet. Other skin abnormalities may also be present in people with this",,,,,,,,,,,,,,
,,,,,condition.,,,,,,,,,,,,,,
,,,,html:p,"Alacrima is usually the first noticeable sign of triple A syndrome, as it",,,,,,,,,,,,,,
,,,,,"becomes apparent early in life that affected children produce little or no tears",,,,,,,,,,,,,,
,,,,,"while crying. They develop Addison disease and achalasia during childhood or",,,,,,,,,,,,,,
,,,,,"adolescence, and most of the neurologic features of triple A syndrome begin",,,,,,,,,,,,,,
,,,,,"during adulthood. The signs and symptoms of this condition vary among affected",,,,,,,,,,,,,,
,,,,,"individuals, even among members of the same family.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Triple X syndrome",https://ghr.nlm.nih.gov/condition/triple-x-syndrome,"This condition occurs in about 1 in 1,000 newborn girls. Five to 10 girls",html:p,"Triple X syndrome, also called trisomy X or 47,XXX, is characterized by the",n,"not inherited",,X,https://ghr.nlm.nih.gov/chromosome/X,"47,XXX",db,key,2014-06,2017-12-29,,,,
,三染色體X症候群,,"with triple X syndrome are born in the United States each day.",,"presence of an additional X chromosome in each of a female's cells. Although",,,,,,"47,XXX syndrome",GTR,C0221033,,,,,,
,,,,,"females with this condition may be taller than average, this chromosomal change",,,,,,"triplo X syndrome",db,key,,,,,,
,,,,,"typically causes no unusual physical features. Most females with triple X",,,,,,"trisomy X",ICD-10-CM,Q97.0,,,,,,
,,,,,"syndrome have normal sexual development and are able to conceive children.",,,,,,"XXX syndrome",db,key,,,,,,
,,,,html:p,"Triple X syndrome is associated with an increased risk of learning disabilities",,,,,,,MeSH,D025064,,,,,,
,,,,,"and delayed development of speech and language skills. Delayed development of",,,,,,,db,key,,,,,,
,,,,,"motor skills (such as sitting and walking), weak muscle tone (hypotonia), and",,,,,,,Orphanet,3375,,,,,,
,,,,,"behavioral and emotional difficulties are also possible, but these",,,,,,,db,key,,,,,,
,,,,,"characteristics vary widely among affected girls and women. Seizures or kidney",,,,,,,"SNOMED CT",35111009,,,,,,
,,,,,"abnormalities occur in about 10 percent of affected females.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Trisomy 13",https://ghr.nlm.nih.gov/condition/trisomy-13,"Trisomy 13 occurs in about 1 in 16,000 newborns. Although women of any age",html:p,"Trisomy 13, also called Patau syndrome, is a chromosomal condition associated",n,"not inherited",,13,https://ghr.nlm.nih.gov/chromosome/13,"Bartholin-Patau syndrome",db,key,2013-11,2017-12-29,,,,
,三染色體13,,"can have a child with trisomy 13, the chance of having a child with this",,"with severe intellectual disability and physical abnormalities in many parts of",,,,,,"complete trisomy 13 syndrome",GTR,C0152095,,,,,,
,,,"condition increases as a woman gets older.",,"the body. Individuals with trisomy 13 often have heart defects, brain or spinal",,,,,,"Patau syndrome",db,key,,,,,,
,,,,,"cord abnormalities, very small or poorly developed eyes (microphthalmia), extra",,,,,,"Patau's syndrome",ICD-10-CM,Q91.4,,,,,,
,,,,,"fingers or toes, an opening in the lip (a cleft lip) with or without an opening",,,,,,"trisomy 13 syndrome",db,key,,,,,,
,,,,,"in the roof of the mouth (a cleft palate), and weak muscle tone (hypotonia). Due",,,,,,,ICD-10-CM,Q91.5,,,,,,
,,,,,"to the presence of several life-threatening medical problems, many infants with",,,,,,,db,key,,,,,,
,,,,,"trisomy 13 die within their first days or weeks of life. Only five percent to",,,,,,,ICD-10-CM,Q91.6,,,,,,
,,,,,"10 percent of children with this condition live past their first year.",,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.7,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,MeSH,D014314,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,3378,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",21111006,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",254268004,,,,,,
,"Trisomy 18",https://ghr.nlm.nih.gov/condition/trisomy-18,"Trisomy 18 occurs in about 1 in 5,000 live-born infants; it is more common",html:p,"Trisomy 18, also called Edwards syndrome, is a chromosomal condition associated",n,"not inherited",,18,https://ghr.nlm.nih.gov/chromosome/18,"complete trisomy 18 syndrome",db,key,2012-03,2017-12-29,,,,
,三染色體18,,"in pregnancy, but many affected fetuses do not survive to term. Although women",,"with abnormalities in many parts of the body. Individuals with trisomy 18 often",,,,,,"Edwards syndrome",GTR,C0152096,,,,,,
,,,"of all ages can have a child with trisomy 18, the chance of having a child with",,"have slow growth before birth (intrauterine growth retardation) and a low birth",,,,,,"trisomy 18 syndrome",db,key,,,,,,
,,,"this condition increases as a woman gets older.",,"weight. Affected individuals may have heart defects and abnormalities of other",,,,,,"trisomy E syndrome",ICD-10-CM,Q91,,,,,,
,,,,,"organs that develop before birth. Other features of trisomy 18 include a small,",,,,,,,db,key,,,,,,
,,,,,"abnormally shaped head; a small jaw and mouth; and clenched fists with",,,,,,,ICD-10-CM,Q91.0,,,,,,
,,,,,"overlapping fingers. Due to the presence of several life-threatening medical",,,,,,,db,key,,,,,,
,,,,,"problems, many individuals with trisomy 18 die before birth or within their",,,,,,,ICD-10-CM,Q91.1,,,,,,
,,,,,"first month. Five to 10 percent of children with this condition live past their",,,,,,,db,key,,,,,,
,,,,,"first year, and these children often have severe intellectual disability.",,,,,,,ICD-10-CM,Q91.2,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.3,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.4,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.5,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.6,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,Q91.7,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,MeSH,D014314,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,3380,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",254266000,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Trisomy 9p syndrome",,,,,,,,,,,,,,,,,,
,三染色體9p症候群,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",51500006,,,,,,
,"TRNT1 deficiency",https://ghr.nlm.nih.gov/condition/trnt1-deficiency,"TRNT1 deficiency is a rare condition; its prevalence is unknown.",html:p,"TRNT1 deficiency is a condition that affects many body systems. Its signs and",ar,"autosomal recessive",,TRNT1,https://ghr.nlm.nih.gov/gene/TRNT1,"retinitis pigmentosa with erythrocytic microcytosis",db,key,2017-12,2017-12-29,,,,
,,,"Approximately 20 affected individuals have been described in the medical",,"symptoms can involve blood cells, the immune system, the eyes, and the nervous",,,,,,RPEM,GTR,C4015172,,,,,,
,,,literature.,,"system. The severity of the signs and symptoms vary widely.",,,,,,"sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and",db,key,,,,,,
,,,,html:p,"A common feature of TRNT1 deficiency is a blood condition called sideroblastic",,,,,,"developmental delay",GTR,C4310776,,,,,,
,,,,,"anemia, which is characterized by a shortage of red blood cells (anemia). In",,,,,,SIFD,db,key,,,,,,
,,,,,"TRNT1 deficiency, the red blood cells that are present are unusually small",,,,,,"TRNT1 enzyme deficiency",MeSH,D000756,,,,,,
,,,,,"(erythrocytic microcytosis). In addition, developing red blood cells in the bone",,,,,,"TRNT1-related immunodeficiency",db,key,,,,,,
,,,,,"marrow (erythroblasts) can have an abnormal buildup of iron that appears as a",,,,,,"TRNT1-related immunodeficiency+",MeSH,D012174,,,,,,
,,,,,"ring of blue staining in the cell after treatment in the lab with certain dyes.",,,,,,,db,key,,,,,,
,,,,,"These abnormal cells are called ring sideroblasts.",,,,,,,OMIM,616084,,,,,,
,,,,html:p,"Many people with TRNT1 deficiency have an immune system disorder",,,,,,,db,key,,,,,,
,,,,,"(immunodeficiency) that can lead to recurrent bacterial infections. Repeated",,,,,,,OMIM,616959,,,,,,
,,,,,"infections can cause life-threatening damage to internal organs. The",,,,,,,db,key,,,,,,
,,,,,"immunodeficiency is characterized by low numbers of immune system cells called B",,,,,,,Orphanet,1047,,,,,,
,,,,,"cells, which normally help fight infections by producing immune proteins called",,,,,,,,,,,,,,
,,,,,"antibodies (or immunoglobulins). These proteins target foreign invaders such as",,,,,,,,,,,,,,
,,,,,"bacteria and viruses and mark them for destruction. In many individuals with",,,,,,,,,,,,,,
,,,,,"TRNT1 deficiency, the amount of immunoglobulins is also low",,,,,,,,,,,,,,
,,,,,(hypogammaglobulinemia).,,,,,,,,,,,,,,
,,,,html:p,"In addition, many individuals with TRNT1 deficiency have recurrent fevers that",,,,,,,,,,,,,,
,,,,,"are not caused by an infection. These fever episodes are often one of the",,,,,,,,,,,,,,
,,,,,"earliest recognized symptoms of TRNT1 deficiency, usually beginning in infancy.",,,,,,,,,,,,,,
,,,,,"The fever episodes are typically accompanied by poor feeding, vomiting, and",,,,,,,,,,,,,,
,,,,,"diarrhea, and can lead to hospitalization. In many affected individuals, the",,,,,,,,,,,,,,
,,,,,"episodes occur regularly, arising approximately every 2 to 4 weeks and lasting 5",,,,,,,,,,,,,,
,,,,,"to 7 days, although the frequency can decrease with age.",,,,,,,,,,,,,,
,,,,html:p,"Eye abnormalities, often involving the light-sensing tissue at the back of the",,,,,,,,,,,,,,
,,,,,"eye (the retina), can occur in people with TRNT1 deficiency. Some of these",,,,,,,,,,,,,,
,,,,,"individuals have a condition called retinitis pigmentosa, in which the",,,,,,,,,,,,,,
,,,,,"light-sensing cells of the retina gradually deteriorate. Eye problems in TRNT1",,,,,,,,,,,,,,
,,,,,"deficiency can lead to vision loss.",,,,,,,,,,,,,,
,,,,html:p,"Neurological problems are also frequent in TRNT1 deficiency. Many affected",,,,,,,,,,,,,,
,,,,,"individuals have delayed development of speech and motor skills, such as",,,,,,,,,,,,,,
,,,,,"sitting, standing, and walking, and some have low muscle tone (hypotonia).",,,,,,,,,,,,,,
,,,,html:p,"Features that occur less commonly in people with TRNT1 deficiency include",,,,,,,,,,,,,,
,,,,,"hearing loss caused by abnormalities of the inner ear (sensorineural hearing",,,,,,,,,,,,,,
,,,,,"loss), recurrent seizures (epilepsy), and problems with the kidneys or heart.",,,,,,,,,,,,,,
,,,,html:p,"TRNT1 deficiency encompasses what was first thought to be two separate",,,,,,,,,,,,,,
,,,,,"disorders, a severe disorder called sideroblastic anemia with B-cell",,,,,,,,,,,,,,
,,,,,"immunodeficiency, periodic fevers, and developmental delay (SIFD) and a milder",,,,,,,,,,,,,,
,,,,,"disorder called retinitis pigmentosa with erythrocytic microcytosis (RPEM), each",,,,,,,,,,,,,,
,,,,,"named for its most common features. SIFD begins in infancy, and affected",,,,,,,,,,,,,,
,,,,,"individuals usually do not survive past childhood. RPEM, on the other hand, is",,,,,,,,,,,,,,
,,,,,"recognized in early adulthood, and the microcytosis usually does not cause any",,,,,,,,,,,,,,
,,,,,"health problems. However, it has since been recognized that some individuals",,,,,,,,,,,,,,
,,,,,"have a combination of features that fall between these two ends of the severity",,,,,,,,,,,,,,
,,,,,"spectrum. All of these cases are now considered part of TRNT1 deficiency.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Troyer syndrome",https://ghr.nlm.nih.gov/condition/troyer-syndrome,"About 20 cases of Troyer syndrome have been reported in the Old Order Amish",html:p,"Troyer syndrome is part of a group of genetic disorders known as hereditary",ar,"autosomal recessive",,SPART,https://ghr.nlm.nih.gov/gene/SPART,"Autosomal Recessive Hereditary Spastic Paraplegia",db,key,2008-01,2017-12-29,,,,
,特洛伊綜合症,,"population of Ohio. It has not been found outside this population.",,"spastic paraplegias. These disorders are characterized by progressive muscle",,,,,,"Cross-McKusick syndrome",GTR,C0393559,,,,,,
,,,,,"stiffness (spasticity) and the development of paralysis of the lower limbs",,,,,,"Hereditary Spastic Paraplegia",db,key,,,,,,
